well,img,timestamp,centroid_x,centroid_y,area,perimeter,circularity,n
A1,69,01d00h00m,1200.974629  ,132.836015 ,1616.0,154.166522,0.854419,4
A1,69,01d00h00m,500.028910,53.157895,1349.0,148.367532,0.770095,4
A1,69,01d00h00m,1016.060820,462.628006,1414.0 ,150.367532,0.785871,3
A1,40,01d00h00m,1025.619860,474.120248,1289.0,136.953319      ,0.863610,4
A1,68,01d00h00m,58.584011,989.752033,1476.0,146.953319      ,0.858890,4
A1,68,01d00h00m,343.083612  ,445.772575,1196.0,130.710678,0.879668,3
A1,68,01d00h00m,682.799206,757.572222,1260.0 ,134.568542      ,0.874366,4
A1,68,01d00h00m,406.766526,329.545007 ,1422.0,147.639610,0.819792,4
A1,28,01d12h00m,780.524869,646.981021,1528.0,150.024387,0.853119,4
A1,28,01d12h00m,200.926987,144.073013,1082.0,127.154329,0.840959,4
A1,28,01d12h00m,741.154299,533.849823,1698.0,155.296465,0.884758,4
